Title,Year,DOI,Abstract,Data Category,Data Type,Broad_Data_Category,Model Used,Broad_Model_Category,Sample Size,Data Source,Study Population Details,True N Verification,Broad Validation Approach,Validation Approach,Their Limitations,Research Result,Our Critical Analysis,Inclusion/Exclusion Decision,Reasoning,Broad_Reasoning_Category,Further Exclusion based on sample size,ACM,Where was the study done,Column1,"Further Exclusion based on sufficient methodological detail and evaluation evidence eg, very short paper",Studies with Potential Data Leakage (Non-Subject-Independent)?,_leakage_detail,_source_db,_pub_title,score,score_reasons,DOI_clean,Title_clean,title_exclude,autism_primary
Exploring ADHD in the Female Brain Through Multimodal Machine Learning,2025,10.1109/ETECOM66111.2025.11319021,"Artificial Intelligence (AI) is increasingly transforming healthcare by enabling earlier detection, improved diagnosis, and personalized interventions for complex conditions. This study investigates the application of AI to Attention-Deficit/Hyperactivity Disorder (ADHD), a prevalent neurodevelopmental disorder characterized by persistent patterns of inattention, hyperactivity, and impulsivity. The objective of this study is to leverage multimodal data from the Women in Data Science (WiDS) Datathon 2025, integrating functional MRI (fMRI) connectome matrices with socio-demographic, emotional, and parenting information from over 1200 children and adolescents, to develop a hybrid ensemble framework that combines neural networks with gradient boosting classifiers. Preprocessing involved tailored handling of numerical, categorical, and connectome-based features, with dimensionality reduction achieved through Principal Component Analysis (PCA) and feature selection. The ensemble model employed weighted averaging of a Keras Neural Network and LightGBM, with focal loss and class weighting applied to address class imbalance. Performance was evaluated using Accuracy, and AUC. The results demonstrate strong predictive accuracy for both ADHD and sex classification.",fMRI,Neuroimaging (fMRI),Neuroimaging,Deep Neural Network; Random Forest; XGBoost/GBM; Ensemble,Deep Learning + Machine Learning,1200,Not specified,"Children, Adolescents",VERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Adequate: n=1200,No,Saudi Arabia,,Adequate: 6 pages,Unknown,Not clearly stated,IEEE Conferences,2025 IEEE International Conference on Emerging Trends in Engineering and Computing (ETECOM),16,Large n=1200; Validation described; Reports 3 metrics; Detailed abstract; 6-page paper,10.1109/etecom66111.2025.11319021,exploring adhd in the female brain through multimodal machine learning,False,False
Transformer-based structural connectivity networks for ADHD-related connectivity alterations,2025,10.1038/s43856-025-01015-1,"Background: Attention-deficit/hyperactivity disorder (ADHD) is a common neurodevelopmental disorder that affects behavior, attention, and learning. Current diagnoses rely heavily on subjective assessments, underscoring the need for objective imaging-based methods. This study aims to explore whether structural connectivity networks derived from MRI can reveal alterations associated with ADHD and support data-driven understanding. Methods: We collected brain MRI data from 947 individuals (aged 7–26 years; 590 males, 356 females, 1 unspecified) across eight centers, sourced from the Neuro Bureau ADHD-200 preprocessed dataset. Transformer-based deep learning models were used to learn relationships between different brain regions and construct structural connectivity networks. To prepare input for the model, each region was transformed into a standardized data sequence using four different strategies. The strength of connectivity between brain regions was then measured to identify structural differences related to ADHD. Five-fold cross-validation and statistical analyses were used to evaluate model robustness and group differences, respectively. Results: Here we show that the proposed method performs well in distinguishing ADHD individuals from healthy controls, with accuracy reaching 71.9 percent and an area under curve of 0.74. The structural networks also reveal significant differences in connectivity patterns (paired t-test: P = 0.81 × 10−6), particularly involving regions responsible for motor and executive function. Notably, the importance rankings of several brain regions, including the thalamus and caudate, differ markedly between groups. Conclusions: This study shows that ADHD may be associated with connectivity alterations in multiple brain regions. Our findings suggest that brain structural connectivity networks built using Transformer-based methods offer a promising tool for both diagnosis and further research into brain structure. © The Author(s) 2025.",MRI,Neuroimaging (MRI),Neuroimaging,Transformer; Deep Neural Network; Random Forest,Deep Learning + Machine Learning,947,ADHD-200,ADHD vs Control,VERIFIED,Cross-Validation,k-Fold Cross-Validation,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Adequate: n=947,No,Not specified,,Adequate: 296 pages,Possible,Medium Risk - verify,Scopus,,15,Large n=947; Validation described; Journal/indexed source; Uses ADHD-200 dataset; Reports 2 metrics; Detailed abstract,10.1038/s43856-025-01015-1,transformer-based structural connectivity networks for adhd-related connectivity alterations,False,False
fNIRS Classification of Adults With ADHD Enhanced by Feature Selection,2025,10.1109/TNSRE.2024.3522121,"Adult attention deficit hyperactivity disorder (ADHD), a prevalent psychiatric disorder, significantly impacts social, academic, and occupational functioning. However, it has been relatively less prioritized compared to childhood ADHD. This study employed a functional near-infrared spectroscopy (fNIRS) during verbal fluency tasks in conjunction with machine learning (ML) techniques to differentiate between healthy controls (N =75) and ADHD individuals (N =120). Efficient feature selection in high-dimensional fNIRS datasets is crucial for improving accuracy. To address this, we propose a hybrid feature selection method that combines a wrapper-based and embedded approach, termed Bayesian-Tuned Ridge RFECV (BTR-RFECV). The proposed method facilitated streamlined feature selection and hyperparameter tuning in high-dimensional data, thereby reducing the number of features while enhancing accuracy. HbO features from the combined frontal and temporal regions were key, with the models achieving precision (89.89%), recall (89.74%), F-1 score (89.66%), accuracy (89.74%), MCC (78.36%), and GDR (88.45%). The outcomes of this study highlight the promising potential of combining fNIRS with ML as diagnostic tools in clinical settings, offering a pathway to significantly reduce manual intervention.",fNIRS,fNIRS Signal,Neurophysiological,Random Forest,Machine Learning,120,Not specified,"Children, Adults, ADHD vs Control",VERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Borderline: n=120,No,South Korea,,Adequate: 12 pages,Unknown,Not clearly stated,IEEE Journals,IEEE Transactions on Neural Systems and Rehabilitation Engineering,15,Adequate n=120; Validation described; Journal/indexed source; Reports 3 metrics; Detailed abstract; 12-page paper,10.1109/tnsre.2024.3522121,fnirs classification of adults with adhd enhanced by feature selection,False,False
Investigation of electroencephalography in attention-deficit hyperactivity disorder subtype classification with machine learning,2025,10.1007/s42600-025-00406-6,"Purpose: Attention-deficit/hyperactivity disorder (ADHD) is a chronic condition that affects about 5% of the children. This research presents a novel method to identify ADHD and its subtype biomarkers using frequency band electroencephalography (EEG) data through the fusion of random forest (RF) models. Methods: This work used EEG data from 776 participants from the Healthy Brain Network initiative database (collected by the Child Mind Institute). After performing quality control, the number of available subjects is reduced to 149 controls, 169 with combined ADHD, and 181 with inattentive ADHD. Data was carefully preprocessed. RF classifier optimized through genetic algorithms then classified the principal component analysis (PCA) selected features. The fusion stage uses RF predictions for each frequency band as feature. Results: Among the tested fusion methods, we highlight the ridge linear model and XGBoost, which achieved 92.1 ± 0.5% and 97.7 ± 0.3% accuracies in ADHD/control and subtype classifications, respectively. Most optimization methods pointed out the greater importance for the Delta band, and biomarker analysis indicates that the information from different frequency bands is complementary. The study also pointed out the importance of Alpha and Gamma for detecting ADHD and of Theta for subtype diagnosis. Conclusion: The present research may also be a base for further studies to develop new treatments. © The Author(s), under exclusive licence to The Brazilian Society of Biomedical Engineering 2025.",EEG,EEG Signal,Neurophysiological,Random Forest; XGBoost/GBM,Machine Learning,776,Not specified,"Children, ADHD vs Control",VERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Adequate: n=776,No,Not specified,,Adequate: 26 pages,Unknown,Not clearly stated,Scopus,,15,Large n=776; Validation described; Journal/indexed source; Detailed abstract; 26-page paper,10.1007/s42600-025-00406-6,investigation of electroencephalography in attention-deficit hyperactivity disorder subtype classification with machine learning,False,False
A transdiagnostic examination of cognitive heterogeneity in children and adolescents with neurodevelopmental disorders,2025,10.1080/09297049.2024.2364957,"Children and adolescents with neurodevelopmental disorders demonstrate extensive cognitive heterogeneity that is not adequately captured by traditional diagnostic systems, emphasizing the need for alternative assessment and classification techniques. Using a transdiagnostic approach, a retrospective cohort study of cognitive functioning was conducted using a large heterogenous sample (n = 1529) of children and adolescents 7 to 18 years of age with neurodevelopmental disorders. Measures of short-term memory, verbal ability, and reasoning were administered to participants with attention-deficit/hyperactivity disorder (ADHD), autism spectrum disorder (ASD), comorbid ADHD/ASD, and participants without neurodevelopmental disorders (non-NDD) using a 12-task, web-based neurocognitive testing battery. Unsupervised machine learning techniques were used to create a self-organizing map, an artificial neural network, in conjunction with k-means clustering to identify data-driven subgroups. The study aims were to: 1) identify cognitive profiles in the sample using a data-driven approach, and 2) determine their correspondence with traditional diagnostic statuses. Six clusters representing different cognitive profiles were identified, including participants with varying forms of cognitive impairment. Diagnostic status did not correspond with cluster-membership, providing evidence for the application of transdiagnostic approaches to understanding cognitive heterogeneity in children and adolescents with neurodevelopmental disorders. Additionally, the findings suggest that many typically developing participants may have undiagnosed learning difficulties, emphasizing the need for accessible cognitive assessment tools in school-based settings. © 2024 Informa UK Limited, trading as Taylor & Francis Group.",Genetic,Genetic Data,Biological,GAN; Deep Neural Network,Deep Learning,1529,Own/Private dataset,"Children, Adolescents, ADHD vs Control",VERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Adequate: n=1529,No,Not specified,,Not assessed,Unknown,Not clearly stated,Scopus,,14,Large n=1529; Validation described; Journal/indexed source; Detailed abstract,10.1080/09297049.2024.2364957,a transdiagnostic examination of cognitive heterogeneity in children and adolescents with neurodevelopmental disorders,False,False
Enhancing brain age estimation under uncertainty: A spectral-normalized neural gaussian process approach utilizing 2.5D slicing,2025,10.1016/j.neuroimage.2025.121184,"Brain age gap, the difference between estimated brain age and chronological age via magnetic resonance imaging, has emerged as a pivotal biomarker in the detection of brain abnormalities. While deep learning is accurate in estimating brain age, the absence of uncertainty estimation may pose risks in clinical use. Moreover, current 3D brain age models are intricate, and using 2D slices hinders comprehensive dimensional data integration. Here, we introduced Spectral-normalized Neural Gaussian Process (SNGP) accompanied by 2.5D slice approach for seamless uncertainty integration in a single network with low computational expenses, and extra dimensional data integration without added model complexity. Subsequently, we compared different deep learning methods for estimating brain age uncertainty via the Pearson correlation coefficient, a metric that helps circumvent systematic underestimation of uncertainty during training. SNGP shows excellent uncertainty estimation and generalization on a dataset of 11 public datasets (N = 6327), with competitive predictive performance (MAE=2.95). Besides, SNGP demonstrates superior generalization performance (MAE=3.47) on an independent validation set (N = 301). Additionally, we conducted five controlled experiments to validate our method. Firstly, uncertainty adjustment in brain age estimation improved the detection of accelerated brain aging in adolescents with ADHD, with a 38% increase in effect size after adjustment. Secondly, the SNGP model exhibited OOD detection capabilities, showing significant differences in uncertainty across Asian and non-Asian datasets. Thirdly, the performance of DenseNet as a backbone for SNGP was slightly better than ResNeXt, attributed to DenseNet's feature reuse capability, with robust generalization on an independent validation set. Fourthly, site effect harmonization led to a decline in model performance, consistent with previous studies. Finally, the 2.5D slice approach significantly outperformed 2D methods, improving model performance without increasing network complexity. In conclusion, we present a cost-effective method for estimating brain age with uncertainty, utilizing 2.5D slicing for enhanced performance, showcasing promise for clinical applications.",Genetic,Genetic Data,Biological,ResNet/VGG/DenseNet; Deep Neural Network; Random Forest,Deep Learning + Machine Learning,6327,Not specified,"Adolescents, ADHD vs Control",VERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Adequate: n=6327,No,Not specified,,Not assessed,Unknown,Not clearly stated,View Full Record in Web of Science,,14,Large n=6327; Validation described; Journal/indexed source; Detailed abstract,10.1016/j.neuroimage.2025.121184,enhancing brain age estimation under uncertainty: a spectral-normalized neural gaussian process approach utilizing 2.5d slicing,False,False
Exploring voice as a digital phenotype in adults with ADHD,2025,10.1038/s41598-025-01989-x,"Current diagnostic procedures for attention deficit hyperactivity disorder (ADHD) are mainly subjective and prone to bias. While research on potential biomarkers, including EEG, brain imaging, and genetics is promising, it has yet to demonstrate clinical utility. Dopaminergic signaling alternations and executive functioning, crucial to ADHD pathology, are closely related to voice production. Consistently, previous studies point to alterations in voice and speech production in ADHD. However, studies investigating voice in large clinical samples allowing for individual-level prediction of ADHD are lacking. Here, 387 ADHD patients, 204 healthy controls, and 100 psychiatric controls underwent standardized diagnostic assessment. Subjects provided multiple 3-minutes speech samples, yielding 920 samples. Based on prosodic voice features, random forest-based classifications were performed, and cross-validated out-of-sample accuracy was calculated. The classification of ADHD showed the best performance in young female participants (AUC = 0.87) with lower performance in older participants and males. Psychiatric comorbidity did not alter the classification performance. Voice features were associated with ADHD-symptom severity as indicated by random forest regressions. In summary, prosodic features seem to be promising candidates for further research into voice-based digital phenotypes of ADHD. © The Author(s) 2025.",EEG,EEG Signal,Neurophysiological,Random Forest,Machine Learning,920,Not specified,"Adults, ADHD vs Control",VERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Adequate: n=920,No,Not specified,,Adequate: 18076 pages,Unknown,Not clearly stated,Scopus,,14,Large n=920; Validation described; Journal/indexed source; Reports 3 metrics; Detailed abstract,10.1038/s41598-025-01989-x,exploring voice as a digital phenotype in adults with adhd,False,False
Age estimation for disorder characterization from pediatric polysomnograms,2025,10.1016/j.bspc.2025.107701,"Estimating biological age via deep neural networks (DNNs) processing polysomnograms (PSGs) showed promising results in adults. While age estimation itself has limited clinical relevance, the residua between estimated biological and chronological age may serve as a proxy for a variety of health conditions. However, polysomnographic studies on infants and children with respect to age prediction are scarce. To address this gap, we studied a data set of 2097 pediatric PSGs (n = 1971; 43.9% females; 0-18 years) focusing on three disorders related to sleep dysfunctions. A DNN for age prediction was trained and five minutes of a PSG serving as input proved sufficient for age estimation, yielding a mean absolute error of 1.816 years. Ablation experiments showed that the DNN's decision-making was mainly based on brain signals. Moreover, we found systematic links between age estimation residua and two disorder clusters, namely cerebrovascular diseases and cerebral palsy. The distributions of residua differed significantly (two-sided t-test, p < 0.05) between case and control group and the relative risk of being diagnosed was greater than 1 under the risk factor of having an absolute residuum larger than 1.8 years. For hyperkinetic disorders including attention deficit hyperactivity disorder (ADHD), such links could not be identified. Our analysis shows that systematic patterns in pediatric PSGs can be deciphered by DNNs and could provide new ways to profile disorder-specific sleep.",Clinical Records/EHR,Clinical Data,Clinical,Deep Neural Network,Deep Learning,1971,Not specified,"Children, Adults, ADHD vs Control",VERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Adequate: n=1971,No,Not specified,,Not assessed,Unknown,Not clearly stated,View Full Record in Web of Science,,14,Large n=1971; Validation described; Journal/indexed source; Detailed abstract,10.1016/j.bspc.2025.107701,age estimation for disorder characterization from pediatric polysomnograms,False,False
Neuropsychiatric disease classification using functional connectomics- results of the connectomics in neuroimaging transfer learning challenge,2021,10.1016/j.media.2021.101972,"Large, open-source datasets, such as the Human Connectome Project and the Autism Brain Imaging Data Exchange, have spurred the development of new and increasingly powerful machine learning approaches for brain connectomics. However, one key question remains: are we capturing biologically relevant and generalizable information about the brain, or are we simply overfitting to the data? To answer this, we organized a scientific challenge, the Connectomics in NeuroImaging Transfer Learning Challenge (CNI-TLC), held in conjunction with MICCAI 2019. CNI-TLC included two classification tasks: (1) diagnosis of Attention-Deficit/Hyperactivity Disorder (ADHD) within a pre-adolescent cohort; and (2) transference of the ADHD model to a related cohort of Autism Spectrum Disorder (ASD) patients with an ADHD comorbidity. In total, 240 resting-state fMRI (rsfMRI) time series averaged according to three standard parcellation atlases, along with clinical diagnosis, were released for training and validation (120 neurotyp-ical controls and 120 ADHD). We also provided Challenge participants with demographic information of age, sex, IQ, and handedness. The second set of 100 subjects (50 neurotypical controls, 25 ADHD, and 25 ASD with ADHD comorbidity) was used for testing. Classification methodologies were submitted in a standardized format as containerized Docker images through ChRIS, an open-source image analysis platform. Utilizing an inclusive approach, we ranked the methods based on 16 metrics: accuracy, area under the curve, F1-score, false discovery rate, false negative rate, false omission rate, false positive rate, geometric mean, informedness, markedness, Matthew's correlation coefficient, negative predictive value, optimized precision, precision, sensitivity, and specificity. The final rank was calculated using the rank product for each participant across all measures. Furthermore, we assessed the calibration curves of each methodology. Five participants submitted their method for evaluation, with one outperforming all other methods in both ADHD and ASD classification. However, further improvements are still needed to reach the clinical translation of functional connectomics. We have kept the CNI-TLC open as a publicly available resource for developing and validating new classification methodologies in the field of connectomics. (c) 2021 Published by Elsevier B.V.",fMRI,Neuroimaging (fMRI),Neuroimaging,GAN; Random Forest,Deep Learning + Machine Learning,120,Not specified,"Adolescents, ADHD vs Control",VERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Borderline: n=120,No,Not specified,,Not assessed,Unknown,Not clearly stated,View Full Record in Web of Science,,14,Adequate n=120; Validation described; Journal/indexed source; Reports 5 metrics; Detailed abstract,10.1016/j.media.2021.101972,neuropsychiatric disease classification using functional connectomics- results of the connectomics in neuroimaging transfer learning challenge,False,False
Noninvasive brain–computer interfaces for children with neurodevelopmental disorders: Attention deficit hyperactivity disorder and autism spectrum disorder,2025,10.1016/j.displa.2024.102886,"Background: Brain–computer interface (BCI)-mediated neurofeedback training (BCI-NFT) has emerged as a highly promising treatment in the field of neurorehabilitation. Many previous studies have demonstrated the efficacy of BCI techniques in clinical rehabilitation, but children are largely neglected in BCI research. Purpose: This systematic review aimed to synthesize existing studies from technical and clinical application perspectives to identify the current state of research on noninvasive brain–computer interface (NBCI) technology in children with two major neurodevelopmental disorders, autism spectrum disorder (ASD) and attention deficit hyperactivity disorder (ADHD). Methods: Five relevant electronic databases were searched (PubMed, Web of Science, the Cochrane Library, Embase, and the Cumulative Index of Nursing and Allied Health Literature). The publication dates ranged from the inception of each database to June 2024. Randomized controlled trials (RCTs) investigating the use of NBCI technology in children with ASD or ADHD were included. Manual searches of the clinical trial registry platforms and the reference lists of reviews related to the study topic were also conducted. Two independent reviewers performed the literature screening, data extraction, and risk of bias assessment. Results: A total of 24 RCTs involving 1998 children with ASD or ADHD were included in this systematic review. With respect to input brain signals, functional magnetic resonance imaging (fMRI) (4.2%), electroencephalography (EEG) combined with fMRI (4.2%), and EEG combined with galvanic skin response (GSR) sensors (4.2%) were utilized in one study each. Seven studies employed EEG combined with electrooculogram (EOG) (29.1%), and the remaining fourteen studies used EEG alone (58.3%). Compared with those of the controls, significant improvements in both behavioral aspects and brain activity in patients were observed in eleven studies (45.8%). NBCI technology has a positive effect on both the behavioral and brain activity levels of children with ASD or ADHD, while it still faces challenges in the paediatric population, particularly in terms of signal processing and the unique cognitive and physiological developmental stages of children, which may complicate the application of these technologies in this population. Conclusion: It demonstrated that there has a high potential for NBCI application in the field of neurodevelopmental disorders. Future research should focus on developing advanced machine learning algorithms to improve neural signal decoding capabilities and on creating child-appropriate application paradigms to explore the long-term efficacy of these algorithms. © 2024 The Authors",fMRI,Neuroimaging (fMRI),Neuroimaging,ResNet/VGG/DenseNet; Random Forest,Deep Learning + Machine Learning,1998,Not specified,"Children, Adolescents, ADHD vs Control",VERIFIED,Not reported,Not reported,Requires full paper access,Requires full paper access,Preliminary screening only - full review needed,INCLUDE,Passes all screening criteria,Meets inclusion criteria,Adequate: n=1998,No,Not specified,,Not assessed,Unknown,Not clearly stated,Scopus,,14,Large n=1998; Validation described; Journal/indexed source; Detailed abstract,10.1016/j.displa.2024.102886,noninvasive brain–computer interfaces for children with neurodevelopmental disorders: attention deficit hyperactivity disorder and autism spectrum disorder,False,False
